                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.46376,                0.35693,                 1.0173,                0.93666,                0.93849,                0.98213,                0.85927,                0.61899,                0.44753,                 1.3137,             0.00056603,             0.00056603,             0.00056603
                     63,                0.48332,                0.37598,                 1.0394,                 0.8447,                0.90957,                0.96021,                0.83314,                0.62436,                0.49566,                 1.3012,             0.00055188,             0.00055188,             0.00055188
                     64,                0.43673,                0.34857,                 1.0007,                0.91097,                0.86404,                0.94241,                0.79875,                0.67971,                0.54827,                  1.372,             0.00053773,             0.00053773,             0.00053773
                     65,                0.47653,                0.37318,                 1.0324,                 0.9562,                0.92942,                0.97223,                 0.8282,                0.67465,                0.53163,                  1.388,             0.00052359,             0.00052359,             0.00052359
                     66,                0.43094,                0.33359,                0.99962,                0.93994,                0.88111,                0.96077,                0.80726,                0.73128,                0.55901,                 1.4583,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.4566,                0.36436,                 1.0264,                0.91011,                0.92391,                0.96445,                0.82736,                0.68214,                0.47317,                 1.3741,             0.00049529,             0.00049529,             0.00049529
                     68,                0.43778,                0.35532,                 1.0053,                0.84983,                0.83474,                0.92253,                0.80239,                0.62834,                 0.6239,                 1.3114,             0.00048114,             0.00048114,             0.00048114
                     69,                0.41622,                0.34951,                0.99492,                0.94375,                0.92111,                0.97861,                0.86342,                0.67376,                0.47228,                 1.3843,               0.000467,               0.000467,               0.000467
                     70,                0.45133,                0.36288,                  1.012,                0.95899,                 0.8915,                0.96065,                0.84394,                0.65448,                0.47482,                 1.3501,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.4424,                0.33813,                 1.0107,                0.93914,                0.87747,                 0.9601,                0.84787,                0.57625,                 0.4428,                 1.2694,              0.0004387,              0.0004387,              0.0004387
                     72,                0.43061,                0.33067,                 1.0022,                0.89581,                0.93461,                 0.9694,                0.84434,                0.62055,                0.46781,                 1.3022,             0.00042456,             0.00042456,             0.00042456
                     73,                0.42274,                0.33002,                 0.9968,                0.85197,                0.93047,                 0.9535,                0.83452,                0.62379,                0.52854,                  1.332,             0.00041041,             0.00041041,             0.00041041
                     74,                0.41365,                0.31458,                0.99655,                 0.8425,                0.93255,                0.96117,                 0.8503,                 0.5968,                0.49445,                 1.2888,             0.00039626,             0.00039626,             0.00039626
                     75,                0.42227,                0.30921,                0.98963,                0.90026,                0.95295,                0.97378,                0.86817,                0.56661,                0.48382,                 1.2651,             0.00038211,             0.00038211,             0.00038211
                     76,                0.40603,                0.32242,                0.97646,                0.90522,                0.97293,                0.97832,                0.87857,                0.57674,                0.42985,                 1.2805,             0.00036797,             0.00036797,             0.00036797
                     77,                0.41098,                0.32094,                0.99543,                0.93062,                0.91283,                0.97669,                0.87023,                0.63918,                0.49335,                 1.3452,             0.00035382,             0.00035382,             0.00035382
                     78,                0.41751,                0.30221,                 1.0112,                0.83783,                 0.8611,                0.94706,                0.83596,                0.62619,                0.55511,                 1.3203,             0.00033967,             0.00033967,             0.00033967
                     79,                0.40635,                0.31769,                0.99207,                0.89113,                0.81352,                0.93379,                0.81926,                0.58617,                 0.5027,                 1.2578,             0.00032553,             0.00032553,             0.00032553
                     80,                0.42056,                 0.3192,                 0.9958,                0.91716,                0.86386,                0.95014,                0.83067,                0.63665,                0.46613,                 1.3065,             0.00031138,             0.00031138,             0.00031138
                     81,                0.39394,                0.30087,                0.98532,                0.93366,                0.92638,                0.96355,                0.84377,                0.60519,                0.42239,                  1.284,             0.00029723,             0.00029723,             0.00029723
                     82,                0.39868,                0.30302,                0.98283,                0.88796,                 0.9783,                0.96615,                0.85387,                0.58389,                0.42408,                 1.2627,             0.00028308,             0.00028308,             0.00028308
